pillar,nominal_weight,main_effect_eta2,importance_share
Infrastructure and Market Access,0.08333333333333333,0.8989185534839415,0.095388076270109
Investment Environment,0.08333333333333333,0.8941125178502324,0.09487808735975853
Living Conditions,0.08333333333333333,0.8813032620534981,0.09351884267160887
Education,0.08333333333333333,0.8589976609261337,0.09115190033479607
Governance,0.08333333333333333,0.8419985950643085,0.08934805705593181
Economic Quality,0.08333333333333333,0.8139257702495386,0.08636913005062051
Enterprise Conditions,0.08333333333333333,0.8058078591528145,0.08550770392936946
Health,0.08333333333333333,0.7951112191857157,0.0843726379046879
Safety and Security,0.08333333333333333,0.7834890170173886,0.08313935653279683
Personal Freedom,0.08333333333333333,0.6763311295159637,0.07176837669673287
Social Capital,0.08333333333333333,0.6121350564658281,0.06495625796960815
Natural Environment,0.08333333333333333,0.5616735558871561,0.05960157322398007
